date,channel_id,video_id,live_or_on_demand,subscribed_status,country_code,playback_location_type,traffic_source_type,device_type,operating_system,views,watch_time_minutes,average_view_duration_seconds,average_view_duration_percentage,red_views,red_watch_time_minutes
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,oTVSYy2DYAM,on_demand,subscribed,IN,0,14,104,4,2,22.3725,671.175,15.980357142857143,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,tHh0ifK_epk,on_demand,not_subscribed,IN,0,4,105,5,1,3.4986666666666668,209.92,9.3714285714285719,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,not_subscribed,IN,0,3,104,4,16,4.1577666666666664,15.591625,0.37982034104750306,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,7Pb-wiDGWiQ,on_demand,subscribed,IN,10,4,104,4,1,0.51,30.6,204,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,vOgqQqjQ930,on_demand,subscribed,IN,0,4,104,4,1,1.83,109.8,13.16546762589928,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,E_L8abv6ymE,on_demand,not_subscribed,IN,0,18,104,4,1,0.031666666666666669,1.9,0.04669451953797002,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,subscribed,IN,0,5,104,4,1,0.13333333333333333,8,0.17965416573096787,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,MBq8uE2jMhE,on_demand,not_subscribed,IN,7,3,104,4,13,4.375,20.192307692307693,0.49189543708423122,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,live,subscribed,IN,0,7,101,2,1,1.4856166666666666,89.137,2.0017291713451604,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,subscribed,IN,0,3,101,13,1,30.051666666666666,1803.1,26.531783402001178,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,c_k07vQ6zP8,live,subscribed,IN,0,8,104,4,1,1.6166666666666667,97,1.4164719626168225,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,5F8epT3bCdQ,on_demand,subscribed,IN,0,4,104,4,1,0.033333333333333333,2,0.062402496099843996,1,0.033333333333333333
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,g6YOeq9ZoWc,on_demand,subscribed,IN,0,18,104,4,1,22.4011,1344.066,37.80776371308017,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,not_subscribed,IN,0,4,101,2,1,0.59285,35.571,0.52341082989994114,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,subscribed,IN,0,8,105,4,1,0.72666666666666668,43.6,0.39050604567845948,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,subscribed,IN,0,4,105,4,1,0.066666666666666666,4,0.035826242722794444,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,syC15Me4YEM,on_demand,not_subscribed,OM,0,5,104,4,1,0.15718333333333334,9.431,0.190640792399434,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,subscribed,IN,0,3,105,4,1,0.08,4.8,0.10779249943858073,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,subscribed,IN,0,3,104,4,4,1.6483333333333334,24.725,0.55524365596227265,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,OCosxGEstYM,on_demand,not_subscribed,IN,0,3,101,2,1,0.53656666666666664,32.194,1.4863342566943676,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,D3cyh2uj2nA,on_demand,subscribed,IN,7,3,104,4,3,0.965,19.3,0.43341567482596005,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,CNWZDlab8r0,live,subscribed,IN,0,5,104,4,8,24.346666666666668,182.6,2.6868746321365511,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,QebAK9_79mA,on_demand,subscribed,IN,0,4,104,4,1,0.066666666666666666,4,0.089988751406074236,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,OCosxGEstYM,on_demand,not_subscribed,IN,7,3,101,2,2,0.42043333333333333,12.613,0.5823176361957525,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,y2i7QX-2_Jw,on_demand,not_subscribed,IN,0,4,101,2,1,3.8771333333333335,232.628,6.0913328096360306,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,gwqTwGMRRwE,on_demand,not_subscribed,IN,0,5,101,2,1,4.0895,245.37,2.1976712942230185,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,K__C9H4o6E0,on_demand,not_subscribed,IN,0,3,104,4,3,3.8583333333333334,77.166666666666671,3.9370748299319729,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,XpGGcvIW0Jk,on_demand,not_subscribed,LK,7,3,101,2,1,0.59028333333333338,35.417,0.44825971396025821,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FEXRDJNI9-E,on_demand,not_subscribed,IN,0,4,105,4,1,0.39333333333333331,23.6,0.56744409713873523,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,snfQi-mwU8Y,on_demand,subscribed,IN,0,18,104,4,1,1.1341666666666668,68.05,1.8045611243701936,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,h68QckkOl0U,on_demand,not_subscribed,IN,0,5,104,4,1,0,0,0,0,0
20231229,UC7zbbglcdBEvi9C3W_K7DCQ,FEXRDJNI9-E,on_demand,not_subscribed,IN,0,4,104,4,1,0.165,9.9,0.23803798990141861,0,0
