Channel_Id,Channel_Name
UCqaq3Cwa7m_EsqlvfZh6uyw,Vedantu NEET MADE EJEE
UCwBfgxcxKUzlhpEMJxWEmdg,Vedantu JEE Enthuse English 
UCsq4gc-EDXqxZZbaRjqFeTw,Vedantu Telugu
UC91RZv71f8p0VV2gaFI07pg,Vedantu JEE Made Ejee
UClaQJq84XMtMkL44zDmL-Tg,Vedantu JEE
UCS1L9B6Swy1WVXOMWgJuMuw,Vedantu Biotonic for NEET
UCMY7ZvLB6-DnuSis_2s37_A,Vedantu 9&10
UCo7S5qgzt1H66Qlepl90c1g,Vedantu Master Tamil
UCGbQ1bYN0TcYzSc5rMp37Jg,Vedantu NCERT 11&12
UCTE39PG9dD_qkfjQ_Q18CAw,Vedantu Class 9
UCTDiRZCOtJuMyXintc6BJWw,Vedantu Telugu JEE
UCi-J9CCaQ8w427GPHmoQGHA,Vedantu Young Wonders
UCt8OFYyeXWmu8jiLU3hUwjw,Vedantu NEET Enlite English
UCOZZbzNiwvj308Vt-ndesKA,Vedantu 9 & 10 English
UC3hMRd0hcCWRV1vFjezuefA,Vedantu JEE Made Ejee 2.0
UCPFn447O8-X7UdcW3AmIydQ,Vedantu Olympiad School
UCbP_8pXlbcLPiAQKCef3Z_g,Vedantu Plus One & Plus Two Malayalam
UCPCFU1l__Es3W7gQ3HHPUAA,Vedantu NEET Toppers
UCTvn7dytna9k1xIlPAzqprw,Vedantu NEET Tamil
UCo0tnyptDm-ygOX6FlV0few,NEET Shala
UCXBtzWV65S4-fQyd5QgLoug,V Tamil NCERT 11-12 
UCw5zlH_esDhrPjAbbK7USBA,Vedantu Telugu 8,9 & 10
UC7zbbglcdBEvi9C3W_K7DCQ,Vedantu TN State Board 8, 9 & 10
UCD4frmhG3gSuySjK3WuspQg,Vedantu 9 & 10 Physics
UC7CTVCf17-qzD5GES3UIuwg,V Master TN State Board 11 & 12
UCJpjVz9KETg3kXTFsR_ALTQ,Vedantu 9 & 10 Biology
UCsF-RLz6jXt6Srl_MGFmNnQ,Vedantu 9 & 10 Maths
UCHF4qEs7WPny6--u4Otiq_Q,Vedantu Telugu NEET
UC8llCGsbSJgtTHHeHK5kH5A,Vedantu NCERT Solutions 11 & 12
UCzodOQL8G8YoiWoGpaLQf2A,V Tamil NCERT 9 - 10
UC2x3DzJkUZ-b7W8cmyjJ1hQ,Vedantu 9 & 10 SST
UC-w8Is8dpMuxbDta34wx1PA,Vedantu Master Tamil 8 & 9
UCrY58RJRPbUPALbNb1ncDjQ,Vedantu 9 and 10 English
UC25uj0PHnAjCwa_rHGq9CqA,Vedantu Foundation
UCocAzk3tn9EbMEh3oP58NKQ,Vedantu 9 & 10 Chemistry
UCith899rMNwGrSciMQWnHOA,Deeksha Vedantu Class 9 & 10
UCPJhU4gQ9gAQG6JFoNpEZ4g,Vedantu Master Tamil Shorts
